,Category,Question
1,Societal Response ,have covid checks beex sent
2,Societal Response ,have covid checks been set
3,Societal Response ,have covid chec$ks been sent
4,Societal Response ,have covid chceks been sent
5,Societal Response ,have covid chceks been sent
6,Societal Response ,have covid checks embody sent
7,Societal Response ,covid checks been sent
8,Societal Response ,have covid cheks been sent
9,Societal Response ,have covid chec ks been sent
0,Societal Response ,how long did it 5ake to publish the full genomic seAudnce of coviC affer it was iXeb5ified
1,Societal Response ,how loSg did it taie to publish the full genrIic sequence of covWd after it was ideQtg$ied
2,Societal Response ,how lng did it take to publish the full gnomc sequec of coid after it was idenied
3,Societal Response ,how long did it takme to zpublrish the full genomic seequenxce of cojvid after it was YidenotifieDd
4,Societal Response ,how logn did it tkae to pbulihs the ufll genomic sequence of covdi after it was identified
5,Societal Response ,how logn did it tkae to pbulihs the ufll genomic sequence of covdi after it was identified
6,Societal Response ,how long did information technology take to put out the full genomic succession of covid after it was key
7,Societal Response ,how long it to the full of covid after it was identified
8,Societal Response ,hou lon did it take tio publish the full genomic senquency of covid after i't was identified
9,Societal Response ,how long did it ta ke to publish the full genomic s equence of co vid aft er it was identif ied
0,Societal Response ,why is ever5kne panicked oFer covid arent we takjng thimgs a little too far
1,Societal Response ,why is ev0Syone panicked over covid aNent we taking thidgs a littl# too far
2,Societal Response ,why is evryon aicked over covid rent we taking things a ittle too far
3,Societal Response ,why is everyone paRnicSked oveDr coBvid arent we taking things a littyle too far
4,Societal Response ,why is everyone painckde over covid raent we atking thinsg a little too far
5,Societal Response ,why is everyone painckde over covid raent we atking thinsg a little too far
6,Societal Response ,wherefore be everyone panic over covid arent we taking things a little too far
7,Societal Response ,is everyone over covid arent we taking things little too
8,Societal Response ,why is everyone's paniced ower covid arent we taking things a little To far
9,Societal Response ,why is e veryone panicked over covid a rent we tak ing thin gs a little too far
0,Societal Response ,whoch countries have the best lroceVurec in Olace to contain the covid
1,Societal Response ,which co%nrries have the best procedures in p%ace to contain the coQid
2,Societal Response ,whch ounties hae the best procedures in place to contain the covid
3,Societal Response ,which Ucoun2tries Ihave the Nbest procedures in place to contain the covid
4,Societal Response ,whihc countries ahve the best procedures in plaec to contain the covid
5,Societal Response ,whihc countries ahve the best procedures in plaec to contain the covid
6,Societal Response ,which countries have the best procedures in spot to check the covid
7,Societal Response ,which countries have the best procedures to contain covid
8,Societal Response ,which countries have the bets prosedures in palac to contain the covid
9,Societal Response ,wh ich countries have the be st procedures in place to c ontain the covid
0,Societal Response ,is trump manXRing well on covid
1,Societal Response ,is trump managing well on cgvid
2,Societal Response ,is trup managing well on covid
3,Societal Response ,is trump managing weYll on covid
4,Societal Response ,is trump maangign well on covid
5,Societal Response ,is trump maangign well on covid
6,Societal Response ,personify trump managing well on covid
7,Societal Response ,is trump managing on covid
8,Societal Response ,is trump managing weell on covid
9,Societal Response ,is trump managing well on c ovid
0,Societal Response ,are you panicking over the c)vid
1,Societal Response ,are you panicking over the chvid
2,Societal Response ,are you panikin over the covid
3,Societal Response ,are you pcaHnicking over the covid
4,Societal Response ,are you panicking over the cvoid
5,Societal Response ,are you panicking over the cvoid
6,Societal Response ,are you panicking over the covid
7,Societal Response ,are panicking over the covid
8,Societal Response ,are you panicking over thi covid
9,Societal Response ,are you panick ing over the covid
0,Societal Response ,whaY is cdc doing about covid
1,Societal Response ,7hat is cdc doing about covid
2,Societal Response ,wht is cdc doing about covid
3,Societal Response ,what is cdc doing abo6ut covid
4,Societal Response ,what is cdc doing about covdi
5,Societal Response ,what is cdc doing about covdi
6,Societal Response ,what is cdc doing about covid
7,Societal Response ,what cdc doing about covid
8,Societal Response ,waht is cdc doing about covid
9,Societal Response ,what is cdc do ing about covid
0,Societal Response ,1hen did the chinese au4n8rities shage the sequence of a novel covid
1,Societal Response ,when did the chinese authj(it9es share the sequence of a n0vel covi0
2,Societal Response ,when did the cinse utoritis share the sequence of a novel covd
3,Societal Response ,wnhen did the chinese aVuNthorzities Wshare the sequence of a novel covid
4,Societal Response ,when did the chinese uathroiites share the seuqnece of a novle covid
5,Societal Response ,when did the chinese uathroiites share the seuqnece of a novle covid
6,Societal Response ,when did the chinese authorities share the chronological succession of a novel covid
7,Societal Response ,when did chinese authorities share of a novel covid
8,Societal Response ,whet did the chinese authorities share the senquency of g novel covid
9,Societal Response ,w hen did the chin ese authorities sh are the sequence of a novel covid
0,Societal Response ,why are a<ericaJs the most afEect#d nation in the w8rld by covid
1,Societal Response ,why are aneri4ans the most affewJed oation in the world by covid
2,Societal Response ,why are aericns the mos affected naion in the world by covid
3,Societal Response ,why are ame3ricanXs the most affected nWation in the wobrld by covid
4,Societal Response ,why are americans the mots affected natoin in the world by covid
5,Societal Response ,why are americans the mots affected natoin in the world by covid
6,Societal Response ,wherefore are americans the to the highest degree affected nation in the world by covid
7,Societal Response ,why are americans affected nation in the by covid
8,Societal Response ,why are Americans the most affected nation in They wolrd by covid
9,Societal Response ,why are americans the m ost a ffected n ation in the world by covid
0,Societal Response ,why is the us losinv to covKd despite beibg a top big rich soun6ry
1,Societal Response ,why is the us Losing to covid despite beiSg a top big ricq coZntrQ
2,Societal Response ,why is the us losing to covd epite beng a top big rich cunry
3,Societal Response ,why is the us losing to covid despjiate *being a top big +rich pco*untry
4,Societal Response ,why is the us losing to ocvid desipet being a top big rihc cuotnry
5,Societal Response ,why is the us losing to ocvid desipet being a top big rihc cuotnry
6,Societal Response ,why is the us losing to covid despite make up a top handsome racy country
7,Societal Response ,is us losing to despite being top big rich country
8,Societal Response ,wh is the us losing to covid dispite being and top big rice country
9,Societal Response ,why is the us losi ng to covid despite b eing a top big r ich cou ntry
0,Societal Response ,why covid is wors$ in us
1,Societal Response ,why covid is Lorse in us
2,Societal Response ,why ovid is worse in us
3,Societal Response ,why covid is worsJe in us
4,Societal Response ,why cvoid is worse in us
5,Societal Response ,why cvoid is worse in us
6,Societal Response ,why covid is worse in us
7,Societal Response ,why covid is in us
8,Societal Response ,nwhy covid is worse in us
9,Societal Response ,why co vid is worse in us
0,Societal Response ,why are fe06blican states mor2 reluctant to izsue stay at Tome orders to mitigate covid as compared to demoxratX
1,Societal Response ,why are republican statms Tore reluctant to iNsue stay at home orders to mitigate coviW as cokpJred to democrats
2,Societal Response ,why are epulcan states more reluctant to issue sty at hom order to mitgat covid as compared to democrats
3,Societal Response ,why are republican states more reluGctanSt to issue sta3y at home Worders to mitigate covid as c5ompa)red to demorcraXts
4,Societal Response ,why are reupblinca states omre reluctant to issue stay at home orders to mitiaget ocvid as compared to demorcast
5,Societal Response ,why are reupblinca states omre reluctant to issue stay at home orders to mitiaget ocvid as compared to demorcast
